Ref_num,No,Author,Beam Name,unit,shape,h,dp,ds,d,bw,btop,bbot,ttop,tbot,bslab,tslab,yb,egc,Ag,Ig,Ic,L,aa,ba,a_d,M_Vd,Loading,control,fctest,fpc,f1c,fcslab,test,fcttest,f1t,agg,Aps,fpy,fpu,rhopl,d_Angle,fse,As,fy,rhol,Av,fvy,sv,rhov,rhovfvy,Vtest,Mn,Mf,Mf_Mn,Failure
43,R0043_007,"Ahmad, Kahloo (1986)",A7,U,R,10,0,8.19,8.19,5,0,0,0,0,0,0,5,0,50,417,417,82,4,6,4,3,SS-2PL,,,9047,,0,,456,,0.5,0,0,0,0,0,0,0.73,60,1.77,0,0,0,0,0,10.5,29.4,28.7,1,S
43,R0043_008,"Ahmad, Kahloo (1986)",A8,U,R,10,0,8.19,8.19,5,0,0,0,0,0,0,5,0,50,417,417,65,4,6,3,2,SS-2PL,,,9047,,0,,456,,0.5,0,0,0,0,0,0,0.73,60,1.77,0,0,0,0,0,11,29.4,22.5,0.8,S
43,R0043_009,"Ahmad, Kahloo (1986)",A9,U,R,10,0,8.19,8.19,5,0,0,0,0,0,0,5,0,50,417,417,60,4,6,2.7,1.7,SS-2PL,,,9047,,0,,456,,0.5,0,0,0,0,0,0,0.73,60,1.77,0,0,0,0,0,18,29.4,33.2,1.1,S
43,R0043_010,"Ahmad, Kahloo (1986)",A10,U,R,10,0,8.19,8.19,5,0,0,0,0,0,0,5,0,50,417,417,54,4,6,2.3,1.3,SS-2PL,,,9047,,0,,456,,0.5,0,0,0,0,0,0,0.73,60,1.77,0,0,0,0,0,18.5,29.4,29,1,S
43,R0043_011,"Ahmad, Kahloo (1986)",A11,U,R,10,0,8.19,8.19,5,0,0,0,0,0,0,5,0,50,417,417,49,4,6,2,1,SS-2PL,,,9047,,0,,456,,0.5,0,0,0,0,0,0,0.73,60,1.77,0,0,0,0,0,12.5,29.4,17.1,0.6,S
43,R0043_012,"Ahmad, Kahloo (1986)",A12,U,R,10,0,8.19,8.19,5,0,0,0,0,0,0,5,0,50,417,417,32,4,6,1,0.5,SS-2PL,,,9047,,0,,456,,0.5,0,0,0,0,0,0,0.73,60,1.77,0,0,0,0,0,50,29.4,34.1,1.2,S
43,R0043_013,"Ahmad, Kahloo (1986)",B1,U,R,10,0,7.94,7.94,5,0,0,0,0,0,0,5,0,50,417,417,80,4,6,4,2.99,SS-2PL,,,9962,,0,,471,,0.5,0,0,0,0,0,0,2,60,5.04,0,0,0,0,0,11.51,65.5,30.5,0.5,S
43,R0043_014,"Ahmad, Kahloo (1986)",B2,U,R,10,0,7.94,7.94,5,0,0,0,0,0,0,5,0,50,417,417,64,4,6,3,1.99,SS-2PL,,,9962,,0,,471,,0.5,0,0,0,0,0,0,2,60,5.04,0,0,0,0,0,15.5,65.5,30.8,0.5,S
43,R0043_015,"Ahmad, Kahloo (1986)",B3,U,R,10,0,7.94,7.94,5,0,0,0,0,0,0,5,0,50,417,417,59,4,6,2.7,1.69,SS-2PL,,,9962,,0,,471,,0.5,0,0,0,0,0,0,2,60,5.04,0,0,0,0,0,22.5,65.5,40.2,0.6,S
43,R0043_016,"Ahmad, Kahloo (1986)",B4,U,R,10,0,7.94,7.94,5,0,0,0,0,0,0,5,0,50,417,417,53,4,6,2.3,1.29,SS-2PL,,,9962,,0,,471,,0.5,0,0,0,0,0,0,2,60,5.04,0,0,0,0,0,32.2,65.5,49,0.7,S
43,R0043_017,"Ahmad, Kahloo (1986)",B5,U,R,10,0,7.94,7.94,5,0,0,0,0,0,0,5,0,50,417,417,48,4,6,2,1,SS-2PL,,,9962,,0,,471,,0.5,0,0,0,0,0,0,2,60,5.04,0,0,0,0,0,24,65.5,31.8,0.5,S
43,R0043_018,"Ahmad, Kahloo (1986)",B6,U,R,10,0,7.94,7.94,5,0,0,0,0,0,0,5,0,50,417,417,32,4,6,1,0.5,SS-2PL,,,9962,,0,,471,,0.5,0,0,0,0,0,0,2,60,5.04,0,0,0,0,0,46.2,65.5,30.6,0.5,S
43,R0043_019,"Ahmad, Kahloo (1986)",B7,U,R,10,0,8.19,8.19,5,0,0,0,0,0,0,5,0,50,417,417,82,4,6,4,3,SS-2PL,,,9962,,0,,471,,0.5,0,0,0,0,0,0,1.03,60,2.25,0,0,0,0,0,10.03,39.9,27.4,0.7,S
43,R0043_020,"Ahmad, Kahloo (1986)",B8,U,R,10,0,8.19,8.19,5,0,0,0,0,0,0,5,0,50,417,417,65,4,6,3,2,SS-2PL,,,9962,,0,,471,,0.5,0,0,0,0,0,0,1.03,60,2.25,0,0,0,0,0,10.5,39.9,21.5,0.5,S
43,R0043_021,"Ahmad, Kahloo (1986)",B9,U,R,10,0,8.19,8.19,5,0,0,0,0,0,0,5,0,50,417,417,60,4,6,2.7,1.7,SS-2PL,,,9962,,0,,471,,0.5,0,0,0,0,0,0,1.03,60,2.25,0,0,0,0,0,18,39.9,33.2,0.8,S
43,R0043_022,"Ahmad, Kahloo (1986)",B10,U,R,10,0,8.19,8.19,5,0,0,0,0,0,0,5,0,50,417,417,54,4,6,2.3,1.3,SS-2PL,,,9962,,0,,471,,0.5,0,0,0,0,0,0,1.03,60,2.25,0,0,0,0,0,14.4,39.9,22.6,0.6,S
43,R0043_023,"Ahmad, Kahloo (1986)",B11,U,R,10,0,8.19,8.19,5,0,0,0,0,0,0,5,0,50,417,417,49,4,6,2,1,SS-2PL,,,9962,,0,,471,,0.5,0,0,0,0,0,0,1.03,60,2.25,0,0,0,0,0,27.5,39.9,37.5,0.9,S
43,R0043_024,"Ahmad, Kahloo (1986)",B12,U,R,10,0,8.19,8.19,5,0,0,0,0,0,0,5,0,50,417,417,32,4,6,1,0.5,SS-2PL,,,9962,,0,,471,,0.5,0,0,0,0,0,0,1.03,60,2.25,0,0,0,0,0,48,39.9,32.8,0.8,S
43,R0043_025,"Ahmad, Kahloo (1986)",C1,U,R,10,0,7.25,7.25,5,0,0,0,0,0,0,5,0,50,417,417,74,4,6,4,2.9,SS-2PL,,,9566,,0,,465,,0.5,0,0,0,0,0,0,2.4,60,6.64,0,0,0,0,0,12.2,63.2,29.5,0.5,S
43,R0043_026,"Ahmad, Kahloo (1986)",C2,U,R,10,0,7.25,7.25,5,0,0,0,0,0,0,5,0,50,417,417,60,4,6,3,1.9,SS-2PL,,,9566,,0,,465,,0.5,0,0,0,0,0,0,2.4,60,6.64,0,0,0,0,0,17,63.2,30.8,0.5,S
43,R0043_027,"Ahmad, Kahloo (1986)",C3,U,R,10,0,7.25,7.25,5,0,0,0,0,0,0,5,0,50,417,417,55,4,6,2.7,1.6,SS-2PL,,,9566,,0,,465,,0.5,0,0,0,0,0,0,2.4,60,6.64,0,0,0,0,0,15.5,63.2,25.3,0.4,S
43,R0043_028,"Ahmad, Kahloo (1986)",C4,U,R,10,0,7.25,7.25,5,0,0,0,0,0,0,5,0,50,417,417,49,4,6,2.3,1.2,SS-2PL,,,9566,,0,,465,,0.5,0,0,0,0,0,0,2.4,60,6.64,0,0,0,0,0,20,63.2,27.8,0.4,S
43,R0043_029,"Ahmad, Kahloo (1986)",C5,U,R,10,0,7.25,7.25,5,0,0,0,0,0,0,5,0,50,417,417,45,4,6,2,1,SS-2PL,,,9566,,0,,465,,0.5,0,0,0,0,0,0,2.4,60,6.64,0,0,0,0,0,55.5,63.2,67.1,1.1,S
